brand,count,retailers,types,sample_products
La Tourangelle,7,walmart,OTTAVIO 포도씨유; OTTAVIO 아보카도 오일; CHOSEN FOODS 아보카도오일,"La Tourangelle Expeller-Pressed Grapeseed Oil, 16.9 Fl oz; La Tourangelle, Expeller-Pressed Grapeseed Oil, 25.4 fl oz (750 ml); La Tourangelle, Delicate Avocado Oil Spray, 5 fl oz (147 ml)"
HARIBO Goldbears,7,walmart,하리보 골드베렌; 하리보 메가 파티 젤리; 트롤리 올인원 젤리,"HARIBO Goldbears Gummy Bears Original Assorted Fruit Flavor Candy Gummies, 4 oz Bag; HARIBO Goldbears Gummy Bears Wild Berry Candy Gummies, 4 oz, Peg Bag; HARIBO Goldbears Gummy Bears Original Assorted Fruit Flavor Candy Gummies, 8 oz, Share Size Bag"
Freshness Guaranteed,7,walmart,CP 플레이밍 치킨 텐더; MENISSEZ 미니 프렌치롤; TENKEI 종합 모나카,"Freshness Guaranteed Chicken Breast Tenderloins, 1.0 - 3.5 lb Tray; Freshness Guaranteed French Steak Rolls, 13 oz, 8 Count; Freshness Guaranteed French Steak Rolls, 2 lb 7 oz, 24 Count"
Pure Protein,6,samsclub/walmart,네이처밸리 프로틴바,"Pure Protein Bars, Chocolate Deluxe, Gluten Free, 21g Protein, 1.76 oz, 4 Count; Pure Protein Bars, Chocolate Deluxe, Low Sugar, 21g Protein, 1.76 oz, 12 Count; Pure Protein Bars Gluten Free, Chocolate Variety Pack 23 ct."
OREO Chocolate,6,samsclub/walmart,NABISCO 오레오쿠키; O'DAY 누가샌드위치 크래커,"OREO Chocolate Sandwich Cookies, 13.29 oz; OREO Chocolate Sandwich Cookies, Family Size, 18.12 oz; OREO Chocolate Sandwich Cookies, 2.4 oz., 30 pk."
Heinz Original,6,samsclub,MAILLE 홀그레인 머스타드; 하인즈 토마토 케찹,"Heinz Original Tomato Ketchup, 44 oz., 3 pk.; Heinz Original Tomato Ketchup, 114 oz."
Snyder's of,6,walmart,미니프레첼,"Snyder's of Hanover Mini Pretzels, 16 oz Bag; Snyder's of Hanover, Mini Pretzels, Individual Packs, 60 Ct; Snyder's of Hanover, Itty Bitty Minis Pretzels, 12 oz Bag"
Country Time,6,samsclub,JUVER 레몬에이드,"Country Time Powdered Lemonade Drink Mix 82.5 oz.; Country Time Pink Lemonade Naturally Flavored Powdered Drink Mix, 5.16 lbs.; Country Time Variety Pack 19 oz., 3 pk."
Pringles Potato,6,samsclub,프링글스 오리지널 멀티팩; 프링글스 사워크림&어니언 멀티팩; 레이즈 클래식,"Pringles Potato Crisps Snack Cups, Variety Pack Chips, 0.67 oz., 36 ct.; Pringles Potato Crisps, Grab N’ Go Variety Pack Chips, 36 pk.; Pringles Potato Crisps, Snack Cups Variety Pack Chips, 48 pk."
(4 pack),6,walmart,MCCAIN 해쉬브라운 감자; 본마망 4프루츠잼; TIPCO 오렌지자몽주스 (착즙),"(4 pack) Hungry Jack Hashbrown Potatoes, 4.2 oz pint carton; (4 pack) Great Value Red Raspberry Preserves, 18 oz; (4 pack) Ocean Spray Ruby Red Grapefruit Juice Drinks, 10 fl oz Bottles, 6 Count"
Jif Creamy,6,samsclub/walmart,본마망 무화과잼; 스키피 크리미 땅콩버터; GENERAL MILLS 골든그레이엄,"Jif Creamy Peanut Butter, 48 oz., 2 pk.; Jif Creamy Peanut Butter, 16 oz Jar; Jif Creamy Peanut Butter, 40 oz Jar"
Ore-Ida Crispy,6,samsclub/walmart,CP 통새우완탕; CAVENDISH 스트레이트컷 감자; CAVENDISH 크리스피 스파이시,"Ore-Ida Crispy Crinkles French Fries, Frozen 8 lbs.; Ore-Ida Crispy Straight-Cut Fries French Fried Frozen Potatoes, 1 Bag, for Easy Snacks and Dinner Sides, Gluten-Free, 32 oz; Ore-Ida Crispy Straight-Cut Fries French Fried Frozen Potatoes, 1 Value Size Bag, for Easy Snacks and Dinner Sides, Gluten-Free, 5 lb"
Folgers Classic,6,samsclub/walmart,스타벅스 미디엄 아메리카노; 네스카페 테이스터스 초이스커피,"Folgers Classic Roast Instant Coffee Crystals, 16 oz.; Folgers Classic Roast Instant Coffee, 3 oz Jar; Folgers Classic Decaf Instant Coffee Crystals Packets, 6 Count"
Nescafé Taster's,6,samsclub,스타벅스 미디엄 아메리카노; 네스카페 테이스터스 초이스커피,"Nescafé Taster's Choice Decaf House Blend Instant Coffee, 14 oz.; Nescafé Taster's Choice House Blend Light-Medium Instant Coffee, 14 oz."
Absolutely Gluten,6,walmart,PM SWEET 36 마카롱,"Absolutely Gluten Free Coconut Macaroon Cookies, 10oz; Absolutely Gluten Free Chocolate Macaroons, 10 Oz; Absolutely Gluten Free Chocolate Coconut Macaroons 10 oz 2 Pack Grain Free, Dairy Free, Soy Free"
Tai Pei,6,walmart,CP 통새우완탕,"Tai Pei Pork Potstickers, Frozen Asian Appetizers, 46.5 oz; Tai Pei Chicken Potstickers, Frozen Asian Appetizers, 46.5 oz; Tai Pei Shrimp Fried Rice, Frozen Asian Entre, 9 oz"
Mott's Gluten,6,walmart,하리보 푸르티부시; GENERAL MILLS 후르츠 롤업 젤리,"Mott's Gluten Free Assorted Fruit Flavored Snacks, Made with Real Fruit Puree (10 Pack); Mott's Gluten Free Assorted Fruit Flavored Snacks, Made with Real Fruit Puree (40 Pack)"
(3 pack),6,walmart,EMMI 이탈리안 티라미슈; LES COMTES DE PROVENCE 멀티베리 스프레드; 페레로 누텔라; DR.Q 과즙젤리 4종; TENKEI 종합 모나카,"(3 pack) OREO Thins Tiramisu Creme Chocolate Sandwich Cookies, Family Size, 11.78 oz; (3 pack) Crofter's Organic Berry Harvest Fruit Spread Squeeze, 13 oz; (3 pack) GOOD GOOD Choco Hazelnut Spread with Cocoa, No Added Sugar, 12 oz"
Triscuit Original,6,samsclub/walmart,MISURA 통밀 크래커,"Triscuit Original Whole Grain Wheat Crackers, Vegan Crackers, Healthy Snacks, Lunch Snacks, 8.5 oz; Triscuit Original Whole Grain Wheat Crackers, Vegan Crackers, Healthy Snacks, Family Size, 12.5 oz; Triscuit Original Whole Grain Wheat Crackers, 8.5 oz., 4 pk."
Goldfish Cheddar,6,walmart,체다치즈 크래커,"Goldfish Cheddar Crackers, 6.6 oz Bag; Goldfish Cheddar Cheese Crackers, 10 oz Bag; Goldfish Cheddar Cheese Crackers, 27.3 oz Carton"
Sweet Baby,6,samsclub/walmart,타바스코핫소스; 이금기 프리미엄 굴소스,"Sweet Baby Ray's® Mild Buffalo Wing Sauce 16 fl oz; Sweet Baby Ray's Original Barbecue Sauce, 1 gal.; Sweet Baby Ray's Barbecue Sauce, 40 oz., 2 pk."
Ocean Spray®,6,walmart,TIPCO 오렌지자몽주스 (착즙),"Ocean Spray® Ruby Red Grapefruit Juice Drink, 64 fl oz Bottle; Ocean Spray® 100% Grapefruit Juice, 100% Juice, 60 fl oz Bottle; Ocean Spray® 100% Ruby Red Grapefruit Juice, 100% Juice, 60 fl oz Bottle"
Kodiak Protein-Packed,6,walmart,퀘이커 심플리그래놀라; 네이처밸리 트레일 믹스바,"Kodiak Protein-Packed Cookie Butter Protein Granola Bag, Ready to Eat, 11 oz; Kodiak Protein-Packed Honey Oat Protein Granola Bag, Ready to Eat, 11 oz; Kodiak Protein-Packed Chocolate Almond Trail Bars, 1.23 oz, 5 Count Cardboard Box"
Kraft Real,5,samsclub/walmart,MAILLE 홀그레인 머스타드; 하인즈 굿마요네즈,"Kraft Real Mayo Creamy & Smooth Mayonnaise, 1 gal, 2 ct.; Kraft Real Mayo Creamy & Smooth Mayonnaise, for a Keto and Low Carb Lifestyle, 30 fl oz Jar; Kraft Real Mayo Mayonnaise Single Serve Packets, 200 ct."
Vaseline Original,5,samsclub,오리히로 과일 곤약젤리; 본마망 무화과잼; LES COMTES DE PROVENCE 멀티베리 스프레드,"Vaseline Original Petroleum Jelly, 2 pk., 13 oz."
Cheez-It Crackers,5,samsclub,완두콩 크래커; 프링글스 오리지널 멀티팩; 덴로쿠 스낵믹스 (개별포장 믹스),"Cheez-It Crackers Summer Mix Variety Pack, 1 oz., 50 pk.; Cheez-It Crackers Pringles Potato Crisps Classic Combo, Variety Pack Snacks, 40 ct."
Quest Protein,5,samsclub/walmart,네이처밸리 프로틴바; 프링글스 사워크림&어니언 멀티팩,"Quest Protein Bar, Chocolate Chip Cookie Dough Flavored, 21g Protein, Gluten Free, 4 Count; Quest Protein Bar, White Chocolate Raspberry, 20g Protein, Gluten Free, 4 Ct; Quest Protein Chips, BBQ and Sour Cream Onion Variety Pack, 1.1 oz., 14 ct."
NESCAFÉ CLÁSICO,5,walmart,스타벅스 다크아메리카노; 네스카페 테이스터스 초이스커피,"NESCAFÉ CLÁSICO Dark Roast Coffee, Instant Coffee, 7 oz, 1 Jar; NESCAFÉ CLÁSICO Decaf Dark Roast Coffee, Instant Coffee, 7 oz, 1 Jar"
GOOD GOOD,5,walmart,LES COMTES DE PROVENCE 딸기잼; 본마망 무화과잼; 페레로 누텔라,"GOOD GOOD Strawberry Jam, No Added Sugar, Low Calorie, Keto Friendly, 12 oz, 2 Pack; GOOD GOOD No Added Sugar Fig Jam, Low Calorie, Keto Friendly, 12 oz, 2 pack; GOOD GOOD Choco Hazelnut Spread with Cocoa, No Added Sugar, 12 oz"
Heinz Organic,5,samsclub/walmart,하인즈 토마토 케찹; 하인즈 유기농 토마토케찹,"Heinz Organic Certified Tomato Ketchup, 44 oz., 2 pk.; Heinz Organic Tomato Ketchup, 2 ct Pack, 44 oz Bottles"
Smucker's Uncrustables,5,samsclub,LES COMTES DE PROVENCE 딸기잼; 오리히로 과일 곤약젤리; 페레로 누텔라,"Smucker's Uncrustables Peanut Butter and Strawberry Jam Sandwiches, Frozen, 2.4 oz., 24 ct.; Smucker's Uncrustables Peanut Butter and Grape Jelly Sandwiches, Frozen, 2.4 oz., 24 ct.; Smucker's Uncrustables Chocolate Flavored Hazelnut Spread Sandwiches, Frozen, 1.8oz, 18pk"
Fruit Roll-Ups,5,samsclub/walmart,후룻 바이 풋,"Fruit Roll-Ups Gluten Free Fruit Flavored Snacks, Variety Pack (10 Rolls); Fruit Roll-Ups Fruit Flavored Snacks, Gluten Free, Variety Pack, 30 Count, 15 oz; Fruit Roll-Ups Fruit Flavored Snacks, Variety Value Pack, 20 Ct, 10 oz"
Lance Variety,5,samsclub,체다치즈 크래커; 완두콩 크래커; NABISCO 리츠 오리지널,"Lance Variety Pack Sandwich Crackers, 40 pk."
Trolli Sour,5,walmart,하리보 스타믹스젤리; 트롤리 사우어 구미; 트롤리 올인원 젤리,"Trolli Sour Brite Crawlers Candy, Cherry-Lemon, Strawberry-Grape & Orange-Lime, Sweet and Sour, Gummy Worms, 14 oz; Trolli Sour Brite Crawlers, Candy, Cherry-Lemon, Strawberry-Grape & Orange-Lime, Sweet and Sour, Gummy Worms, 5 oz"
Welch's Concord,5,samsclub,오리히로 과일 곤약젤리; 본마망 무화과잼; LES COMTES DE PROVENCE 멀티베리 스프레드,"Welch's Concord Grape Jelly, 30 oz., 2 pk."
Ava Organics,4,samsclub/walmart,크리스피 코코넛롤,"Ava Organics Coconut Crispy Rollers Blueberry Gluten-Free (Pack of 8), 2.8 oz; Ava Organics Coconut Crispy Rollers Original Coconut (Pack of 8, 2.8 oz); Ava Organics Coconut Crispy Rollers Pineapple (Pack of 8, 2.8 oz)"
Like Air,4,samsclub/walmart,LIKE AIR 퍼프콘 클래식,"Like Air Puffcorn White Cheddar Flavor 4oz Bags; Like Air Puffcorn Sour Cream & Onion Flavor 4oz Bag; Like Air Puffcorn Variety Pack, 0.5 oz., 30 pk."
Juicy Drop,4,samsclub,DR.Q 과즙젤리 4종; 트롤리 사우어 구미,"Juicy Drop Sour Gel Pens Candy, 24 ct.; Juicy Drop Pop Sour Candy,18 ct."
Primal Kitchen,4,walmart,하인즈 유기농 토마토케찹,"Primal Kitchen Organic and Unsweetened Ketchup 11.3 oz; Primal Kitchen A Tad Sweet Squeeze Ketchup - Sweetened with Honey, 18.5 oz; Primal Kitchen Organic Unsweetened Ketchup, No Cane Sugar or Artificial Sweeteners, 11.3 oz, Pack of 2"
Gushers Fruit,4,walmart,GENERAL MILLS 후르츠거거셔스 젤리,"Gushers Fruit Flavored Snacks, Valentine's Day, Family Pack, 20 Ct, 16 oz; Gushers Fruit Flavored Snacks, Halloween, Watermelon and Sour Apple Flavor, 20 Count, 16 oz; Gushers Fruit Flavored Snacks Variety Pack, Tropical and Strawberry Flavors, 6 Count, 4.8 oz"
Lay's Classic,4,samsclub/walmart,레이즈 클래식,"Lay's Classic Potato Chips, 8 oz Bag; Lay's Classic Potato Chips, Party Size, 13 oz Bag; Lay's Classic Potato Chips, 1 oz., 50 pk."
Fusion Select,4,walmart,S&B생와사비; TENKEI 종합 모나카,"Fusion Select Real Wasabi in Tube 43g - 1pk; Fusion Select Mochi Daifuku Snacks - Traditional Japanese Rice Cakes with Filling - Flavored Asian Sweet Desserts for Family - Chewy and Soft Texture - 35g Each, 6 Pieces per Pack (Lychee); Fusion Select Mochi Daifuku Snacks - Traditional Japanese Rice Cakes with Filling - Flavored Asian Sweet Desserts for Family - Chewy and Soft Texture - 35g Each, 6 Pieces per Pack (Peanut)"
Nutella Hazelnut,4,walmart,페레로 누텔라,"Nutella Hazelnut Spread with Cocoa, Creamy Hazelnut Spread, Breakfast Favorite, 26.5 oz Jar; Nutella Hazelnut Spread with Cocoa, Creamy Hazelnut Spread, Breakfast Favorite, 13 oz Jar; Nutella Hazelnut Spread with Cocoa, Creamy Hazelnut Spread, Breakfast Favorite, 33.5 oz Jar"
S. Rosen's,4,walmart,MENISSEZ 미니 프렌치롤,"S. Rosen's French Rolls, 6 Count, 13.5 oz., Fresh; S. Rosen's French Rolls, 6 Count, 13.5 oz., Fresh | S. Rosen's French Mini Fresh Rolls, 12 Count 23 oz. Package"
Marketside Brioche,4,walmart,MENISSEZ 미니 프렌치롤,"Marketside Brioche Slider Rolls, Shelf-Stable, Regular, 16.9 oz, 12 Count; Marketside Brioche Rolls, 9.88 oz, 8 Count"
Built Bar,4,samsclub,네이처밸리 프로틴바,"Built Bar Puff & Chunk Protein Bars, Variety Pack, 13 ct."
Opopop Microwave,4,walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,Opopop Microwave Popcorn Salty Caramel Flavor 2.8oz/6ct
On The,4,samsclub/walmart,엘로 토티야칩스,"On The Border Cafe Style Tortilla Chips, Gluten-Free, 16.5 oz Bag; On The Border Cafe Tortilla Chips, 23.5 oz."
Takis Fuego,4,samsclub/walmart,엘로 토티야칩스,"Takis Fuego 9.9 oz Sharing Size Bag, Hot Chili Pepper & Lime Rolled Tortilla Chips; Takis Fuego Rolled Tortilla Chips, 1 oz., 46 pk."
Tostitos Restaurant,4,samsclub/walmart,엘로 토티야칩스,"Tostitos Restaurant Style Original Tortilla Chips, 17 oz Party Size Bag; Tostitos Restaurant Style Tortilla Chips, 18.63 oz."
Caramel Chocolatey,4,walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"Caramel Chocolatey Swirl Flavored Popped Corn, 8 Ounces Bag."
CRUNCH 'N,4,walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"CRUNCH 'N MUNCH Caramel Popcorn with Peanuts, 12 oz."
Lea &,4,samsclub,이금기 프리미엄 굴소스; A1스테이크소스,"Lea & Perrins The Original Worcestershire Sauce, 20 oz., 2 pk."
Tostitos Scoops!,4,samsclub/walmart,엘로 토티야칩스,"Tostitos Scoops! Party Size Tortilla Chips, 14.5 oz Bag; Tostitos Scoops! Original Tortilla Chips, 16.125 oz."
Reese's Milk,4,walmart,스니커즈 땅콩 펀사이즈,"Reese's Milk Chocolate Peanut Butter Cups Candy Packs, 1.5 oz (6 Count); Reese's Milk Chocolate King Size Peanut Butter Cups Candy, Pack 2.8 oz; Reese's Milk Chocolate Snack Size Peanut Butter Cups Candy, Bag 10.5 oz"
Simply Potatoes,4,samsclub/walmart,MCCAIN 해쉬브라운 감자,"Simply Potatoes Shredded Hash Browns, 20 oz Bag (Refrigerated); Simply Potatoes Shredded Hash Browns, 20 oz., 2 ct."
Pop Secret,4,walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"Pop Secret Popcorn, Sweet 'n Crunchy Caramel Microwave Popcorn, 2.64 oz Bags, 3 Ct"
Gushers Strawberry,4,samsclub,하리보 푸르티부시; GENERAL MILLS 후르츠 롤업 젤리; GENERAL MILLS 후르츠거거셔스 젤리,"Gushers Strawberry & Tropical Variety Pack Snacks, 0.8 oz., 42 pk."
Skittles Gummies,4,samsclub,하리보 푸르티부시; 트롤리 사우어 구미; 하리보 메가 파티 젤리,"Skittles Gummies Variety Pack Gummy Candy, 37.8 oz.; Skittles Gummies Sour Gummy Candy, Share Size, 15 pk."
BUBS Swedish,4,samsclub,하리보 푸르티부시; DR.Q 과즙젤리 4종; 하리보 메가 파티 젤리,"BUBS Swedish Candy Variety Mix Gummy Candy, 21 oz."
Crystal Light,4,samsclub,JUVER 레몬에이드,"Crystal Light Variety Pack Drink Mix Packets 60 pk.; Crystal Light Lemonade Mix, 16 pk."
Mott's Assorted,4,samsclub/walmart,하리보 푸르티부시; GENERAL MILLS 후르츠 롤업 젤리,"Mott's Assorted Fruit Flavored Snacks, 0.8 oz., 90 pk.; Mott's Assorted and Berry Fruit Flavored Snacks, Made with Real Fruit Puree (22 Pack)"
Classico Signature,4,walmart,데체코 바질페스토,"Classico Signature Recipes Traditional Basil Pesto Sauce & Spread, 8.1 oz Jar; Classico Signature Recipes Traditional Basil Pesto Sauce & Spread, 8.1 oz. Jar ( PACK F 2 )"
Club Crackers,4,samsclub,완두콩 크래커; NABISCO 리츠 오리지널; 덴로쿠 스낵믹스 (개별포장 믹스),"Club Crackers Snack Stacks, 2.08 oz., 24 pk."
